exp_name,use_graph,temporal_backend,input_dim,seq_len,val_rankic,test_rankic,test_ic,test_icir,test_rankicir
ablation_gru_backbone,True,gru,,60,0.0037798224238975832,0.025741645248172337,0.017154742761899468,0.11905744235840529,
ablation_lstm_backbone,True,lstm,,60,0.009159420770957601,0.013950951215162214,0.00664779698140015,0.0454406192681272,
full,True,rwkv,,60,0.014215449659680109,0.020852015970607093,0.01059501155499213,0.07281686853848408,
w_o_graph,False,rwkv,,60,0.0037984017508287215,0.023958171690409112,0.01460858777208947,0.09630950839467634,
