Date,Market_Close,Market_Vol
2018-01-02,2695.8101,3367250000
2018-01-03,2713.0601,3538660000
2018-01-04,2723.99,3695260000
2018-01-05,2743.1499,3236620000
2018-01-08,2747.71,3242650000
2018-01-09,2751.29,3453480000
2018-01-10,2748.23,3576350000
2018-01-11,2767.5601,3641320000
2018-01-12,2786.24,3573970000
2018-01-16,2776.4199,4325970000
2018-01-17,2802.5601,3778050000
2018-01-18,2798.03,3681470000
2018-01-19,2810.3,3639430000
2018-01-22,2832.97,3471780000
2018-01-23,2839.1299,3519650000
2018-01-24,2837.54,4014070000
2018-01-25,2839.25,3835150000
2018-01-26,2872.8701,3443230000
2018-01-29,2853.53,3573830000
2018-01-30,2822.4299,3990650000
2018-01-31,2823.8101,4261280000
2018-02-01,2821.98,3938450000
2018-02-02,2762.1299,4301130000
2018-02-05,2648.9399,5283460000
2018-02-06,2695.1399,5891660000
2018-02-07,2681.6599,4626570000
2018-02-08,2581.0,5305440000
2018-02-09,2619.55,5680070000
2018-02-12,2656.0,4055790000
2018-02-13,2662.9399,3472870000
2018-02-14,2698.6299,4003740000
2018-02-15,2731.2,3684910000
2018-02-16,2732.22,3637460000
2018-02-20,2716.26,3627610000
2018-02-21,2701.3301,3779400000
2018-02-22,2703.96,3701270000
2018-02-23,2747.3,3189190000
2018-02-26,2779.6001,3424650000
2018-02-27,2744.28,3745080000
2018-02-28,2713.8301,4230660000
2018-03-01,2677.6699,4503970000
2018-03-02,2691.25,3882450000
2018-03-05,2720.9399,3710810000
2018-03-06,2728.1201,3370690000
2018-03-07,2726.8,3393270000
2018-03-08,2738.97,3212320000
2018-03-09,2786.5701,3364100000
2018-03-12,2783.02,3185020000
2018-03-13,2765.3101,3301650000
2018-03-14,2749.48,3391360000
2018-03-15,2747.3301,3500330000
2018-03-16,2752.01,5372340000
2018-03-19,2712.9199,3282130000
2018-03-20,2716.9399,3261030000
2018-03-21,2711.9299,3415510000
2018-03-22,2643.6899,3739800000
2018-03-23,2588.26,3815080000
2018-03-26,2658.55,3511100000
2018-03-27,2612.6201,3706350000
2018-03-28,2605.0,3864500000
2018-03-29,2640.8701,3565990000
2018-04-02,2581.8799,3598520000
2018-04-03,2614.45,3392810000
2018-04-04,2644.6899,3350340000
2018-04-05,2662.8401,3178970000
2018-04-06,2604.47,3299700000
2018-04-09,2613.1599,3062960000
2018-04-10,2656.8701,3543930000
2018-04-11,2642.1899,3020760000
2018-04-12,2663.99,3021320000
2018-04-13,2656.3,2960910000
2018-04-16,2677.8401,3019700000
2018-04-17,2706.3899,3234360000
2018-04-18,2708.6399,3383410000
2018-04-19,2693.1299,3349370000
2018-04-20,2670.1399,3388590000
2018-04-23,2670.29,3017480000
2018-04-24,2634.5601,3706740000
2018-04-25,2639.3999,2203579981
2018-04-26,2666.9399,2543293987
2018-04-27,2669.9099,2104565445
2018-04-30,2648.05,2335651561
2018-05-01,2654.8,2185437868
2018-05-02,2635.6699,2303620157
2018-05-03,2629.73,2395693075
2018-05-04,2663.4199,1915006736
2018-05-07,2672.6299,1911248453
2018-05-08,2671.9199,2106585852
2018-05-09,2697.79,2083097634
2018-05-10,2723.0701,1835353794
2018-05-11,2727.72,1796034174
2018-05-14,2730.1299,1820433208
2018-05-15,2711.45,1964096382
2018-05-16,2722.46,1844279675
2018-05-17,2720.1299,1863613028
2018-05-18,2712.97,1956929148
2018-05-21,2733.01,1789869036
2018-05-22,2724.4399,1907818881
2018-05-23,2733.29,2030186160
2018-05-24,2727.76,1965051549
2018-05-25,2721.3301,1683086480
2018-05-29,2689.8601,2250972365
2018-05-30,2724.01,2032100556
2018-05-31,2705.27,2746987187
2018-06-01,2734.6201,1995116170
2018-06-04,2746.8701,1974155386
2018-06-05,2748.8,1982320693
2018-06-06,2772.3501,2130321313
2018-06-07,2770.3701,2139133019
2018-06-08,2779.03,1813371531
2018-06-11,2782.0,1917077606
2018-06-12,2786.8501,1989893988
2018-06-13,2775.6299,2422913937
2018-06-14,2782.49,2271012002
2018-06-15,2779.6599,3501178338
